Table Part,Main Table,Filter,Related Tables,Comments
Collateral_given_instrument,,,,
Collateral_received_instrument,,,,
Debt_securities,BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,BIRD_SCRTY_PSTN,,
Debt_securities_asset_backed_securities,BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,BIRD_ABS,,
Debt_securities_covered_bonds_securities,BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,BIRD_CVRD_BND,,
Debt_securities_issued,BIRD_DBT_SCRTY_ISSD,BIRD_DBT_SCRTY_ISSD,,
Deposits,BIRD_INSTRMNT,BIRD_DPST,,
Deposits_other_than_repurchase_agreements,BIRD_INSTRMNT,BIRD_DPST,,
Repurchase_agreements,BIRD_INSTRMNT,BIRD_RPRCHS_AGRMNT_INSTRMNT,,
Derivatives_ETC,BIRD_SCRTY_EXCHNG_TRDBL_DRVTV,BIRD_EXCHNG_TRDBL_DRVTV_PSTN,,
Derivatives_OTC,BIRD_INSTRMNT,BIRD_OTC_DRVTV_INSTRMNT,,
Equity_instruments_security,BIRD_EQTY_FND_SCRTY,,
Equity_instruments_instrument,BIRD_INSTRMNT,BIRD_EQT_INSTRMNT_NT_SCRT,,
Financial_guarantees_received,BIRD_INSTRMNT,BIRD_FNNCL_GRNT_INSTRMNT,,
Loan_commitments_received,BIRD_INSTRMNT,BIRD_OTHR_CMMTMNT,,
Other_Commitments_received,BIRD_INSTRMNT,BIRD_OTHR_CMMTMNT,,
Loans_and_advances,BIRD_INSTRMNT,BIRD_OTHR_LN,,
Non_Negotiable_bonds,BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,BIRD_LNG_NN_NGTBL_SCRTY_PSTN,
Debt_securities_excluding_non_negotiable_bonds,BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,BIRD_SCRTY_PSTN,
Debt_securities_issued,BIRD_DBT_SCRTY_ISSD,BIRD_DBT_SCRTY_ISSD,,
Financial_guarantees_given,BIRD_CRDT_FCLTY,BIRD_FNNCL_GRNT_INSTRMNT,,
Financial_guarantees_received,BIRD_INSTRMNT,BIRD_FNNCL_GRNT_INSTRMNT,
Intangible_assets_other_than_Goodwill,BIRD_NN_FNNCL_ASST,BIRD_NN_FNNCL_ASST,,
Loan_commitments_given,BIRD_CRDT_FCLTY,BIRD_OTHR_CMMTMNT,,
Loan_commitments_received,BIRD_INSTRMNT,BIRD_OTHR_CMMTMNT,BIRD_ABSTRCT_INSTRMNT_RL:BIRD_PRTY:BIRD_CLLTRL,
Loans_and_advances,BIRD_INSTRMNT,BIRD_OTHR_LN,BIRD_ABSTRCT_INSTRMNT_RL:BIRD_PRTY:BIRD_CLLTRL,
Off_balance_sheet_exposures_subject_to_credit_risk_excluding_instruments_subject_to_securitisation_credit_risk_treatment,BIRD_NN_FNNCL_ASST,BIRD_OFF_BLNC_INSTRMNT,,
Off-balance_sheet_exposures_subject_to_credit_risk,BIRD_NN_FNNCL_ASST,BIRD_OFF_BLNC_INSTRMNT,,
Other_Commitments_given,BIRD_CRDT_FCLTY,BIRD_OTHR_CMMTMNT,,
Other_Commitments_received,BIRD_INSTRMNT,BIRD_OTHR_CMMTMNT,BIRD_ABSTRCT_INSTRMNT_RL:BIRD_PRTY:BIRD_CLLTRL,
Other_financial_liabilities,BIRD_NN_FNNCL_LBLTY,BIRD_NN_FNNCL_LBLTY,,
Short_positions,BIRD_SCRTY_PSTN,BIRD_SCRTY_PSTN,BIRD_ABSTRCT_INSTRMNT_RL:BIRD_PRTY:BIRD_CLLTRL,
Tangible_assets,BIRD_INSTRMNT,BIRD_NN_FNNCL_LBLTY,BIRD_ABSTRCT_INSTRMNT_RL:BIRD_PRTY:BIRD_CLLTRL,
Cash_on_hand,BIRD_NN_FNNCL_ASST,BIRD_CSH_HND,,
Current_tax_assets,BIRD_NN_FNNCL_ASST,BIRD_CRRNT_TX_ASST,,
Current_tax_liabilities,BIRD_NN_FNNCL_LBLTY,BIRD_CRRNT_TX_LBLTY,,
Deferred_tax_assets,BIRD_NN_FNNCL_ASST,BIRD_DFRRD_TX_ASST,,
Deferred_tax_liabilities,BIRD_NN_FNNCL_LBLTY,BIRD_DFRRD_TX_LBLTY,,
Fair_value_changes,BIRD_NN_FNNCL_LBLTY,BIRD_NN_FNNCL_LBLTY,,
Goodwill,BIRD_NN_FNNCL_ASST,BIRD_NN_FNNCL_ASST,,
Haircuts_for_trading_assets_at_fair_value,BIRD_NN_FNNCL_ASST,BIRD_NN_FNNCL_ASST,,
Haircuts_for_trading_liabilities_at_fair_value,BIRD_NN_FNNCL_ASST,BIRD_NN_FNNCL_ASST,,
Intangible_assets,BIRD_NN_FNNCL_ASST,BIRD_NN_FNNCL_ASST,,
Share_capital_repayable_on_demand,BIRD_NN_FNNCL_LBLTY,BIRD_NN_FNNCL_ASST,,
Tax_assets,BIRD_NN_FNNCL_ASST,BIRD_CRRNT_TX_ASST,,
Tax_liabilities,BIRD_NN_FNNCL_LBLTY,BIRD_DFRRD_TX_LBLTY,,
Tax_other_comprehensive_income,BIRD_NN_FNNCL_ASST,BIRD_DFRRD_TX_LBLTY,,
Collateral_received,BIRD_CLLTRL,BIRD_CLLTRL,,
