Entity_Name,ObjectID,NumOID,ImportID,ModelID,Num_ModelID,Structured_Type_ID,Num_Structured_Type_ID,Structured_Type_Name,Number_Data_Elements,Classification_Type,Allow_Type_Substitution,Min_Volume,Expected_Volume,Max_Volume,Growth_Rate_Percents,Growth_Rate_Interval,Normal_Form,Temporary_Object_Scope,Adequately_Normalized,Substitution_Parent,Num_Substitution_Parent,Synonyms,Synonym_To_Display,Preferred_Abbreviation,SuperTypeEntity_ID,Num_SuperTypeEntity_ID,Engineering_Strategy,Owner,Entity_Source
"Commodity risk factor",E5488186-437C-BC1C-8AC2-048D08999A0A,97,,6A4C0D9F-61FE-9F5D-7A39-A49D0FA6E0B7,96,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,,,CMMDTY_RSK_FCTR,E7C4E383-AABB-082F-EAE7-A59D01E27340,111,Single Table,,,
"CSR non securitisation risk factor",41723CFA-4325-D82E-7C07-BBF4BEA5B19D,98,,6A4C0D9F-61FE-9F5D-7A39-A49D0FA6E0B7,96,,,,3,,Y,0,0,9999999,0,Year,Third,,N,,,,,CSR_NN_SCRTSTN_RSK_FCTR,E7C4E383-AABB-082F-EAE7-A59D01E27340,111,Single Table,,,
"Curvature",CAAA6A13-3408-32AA-C628-9F0995673C28,99,,6A4C0D9F-61FE-9F5D-7A39-A49D0FA6E0B7,96,,,,4,,Y,0,0,9999999,0,Year,Third,,N,,,,,CRVTR,A4E1F026-BF8E-548C-4A9D-C0B863F89F47,112,Single Table,,,
"Delta sensitivities correlated and aggregated_derived",D696800F-974A-9206-9F17-A4CCBE2FD543,100,,6A4C0D9F-61FE-9F5D-7A39-A49D0FA6E0B7,96,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
"Delta sensitivity",74FDE155-399A-5886-2419-C144B9B3EE90,101,,6A4C0D9F-61FE-9F5D-7A39-A49D0FA6E0B7,96,,,,3,,Y,0,0,9999999,0,Year,Third,,N,,,,,DLT_SNSTVTY,A4E1F026-BF8E-548C-4A9D-C0B863F89F47,112,Single Table,,,
"Delta sensitivity combinations_derived",759B8717-A824-710D-F330-8402AA7CA111,102,,6A4C0D9F-61FE-9F5D-7A39-A49D0FA6E0B7,96,,,,6,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
"Equity issue",4E098DB2-F59B-3809-E8F2-F09EE3F6EB0E,103,,6A4C0D9F-61FE-9F5D-7A39-A49D0FA6E0B7,96,,,,0,,Y,0,0,9999999,0,Year,Third,,N,,,,,,58CA352E-DE50-CD54-EECC-B9D98C76ADE6,116,Single Table,,,
"Equity risk factor",C479F3DA-D525-3B6D-27B8-E0950E385F50,104,,6A4C0D9F-61FE-9F5D-7A39-A49D0FA6E0B7,96,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,,,EQUTY_RSK_FCTR,E7C4E383-AABB-082F-EAE7-A59D01E27340,111,Single Table,,,
"FX risk factor",FCC84A65-A0A9-DCAF-8285-6A6BAF8B921C,105,,6A4C0D9F-61FE-9F5D-7A39-A49D0FA6E0B7,96,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,,,FX_RSK_FCTR,E7C4E383-AABB-082F-EAE7-A59D01E27340,111,Single Table,,,
"GIRR risk factor",B38A778B-0463-9C7D-3502-F4091E4E0384,106,,6A4C0D9F-61FE-9F5D-7A39-A49D0FA6E0B7,96,,,,3,,Y,0,0,9999999,0,Year,Third,,N,,,,,GIRR_RSK_FCTR,E7C4E383-AABB-082F-EAE7-A59D01E27340,111,Single Table,,,
"KB per bucket_derived",BA2E3C75-93F0-6645-DA84-7698317A75B1,107,,6A4C0D9F-61FE-9F5D-7A39-A49D0FA6E0B7,96,,,,3,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
"Netted delta sensitivities per risk factor and tenor_derived",34908E02-53E1-6647-E07D-2921F33DDF28,108,,6A4C0D9F-61FE-9F5D-7A39-A49D0FA6E0B7,96,,,,9,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
"Organisation",2BCD02A6-76DC-6E84-FA25-9778097C621E,109,,6A4C0D9F-61FE-9F5D-7A39-A49D0FA6E0B7,96,,,,5,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
"OUTPUT_LAYER_FRTB",5C84AF14-9F30-4DB3-6A7D-B3E3F397C52C,110,,6A4C0D9F-61FE-9F5D-7A39-A49D0FA6E0B7,96,,,,14,,Y,0,0,9999999,0,Year,Third,,N,,,,,OTPT_LYR_FRTB,,,,,,
"Risk factor",E7C4E383-AABB-082F-EAE7-A59D01E27340,111,,6A4C0D9F-61FE-9F5D-7A39-A49D0FA6E0B7,96,,,,1,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,Single Table,,,
"Risk measure",A4E1F026-BF8E-548C-4A9D-C0B863F89F47,112,,6A4C0D9F-61FE-9F5D-7A39-A49D0FA6E0B7,96,,,,3,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,Single Table,,,
"Securitisation",B23842D1-E84A-6E39-1C9B-B10557BD6BC5,113,,6A4C0D9F-61FE-9F5D-7A39-A49D0FA6E0B7,96,,,,1,,Y,0,0,9999999,0,Year,Third,,N,,,,,,58CA352E-DE50-CD54-EECC-B9D98C76ADE6,116,Single Table,,,
"Securitisation CTP risk factor ",125F0220-6287-45CE-9C1C-80F29B5D7A31,114,,6A4C0D9F-61FE-9F5D-7A39-A49D0FA6E0B7,96,,,,0,,Y,0,0,9999999,0,Year,Third,,N,,,,,SCRTSTN_RSK_FCTR,E7C4E383-AABB-082F-EAE7-A59D01E27340,111,Single Table,,,
"Securitisation non CTP risk factor",8ABC1D49-C1B4-877C-ED2B-EBC1BFA1363B,115,,6A4C0D9F-61FE-9F5D-7A39-A49D0FA6E0B7,96,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,,,SCRTSTN_NN_CTP_RSK_FCTR,E7C4E383-AABB-082F-EAE7-A59D01E27340,111,Single Table,,,
"Security issue",58CA352E-DE50-CD54-EECC-B9D98C76ADE6,116,,6A4C0D9F-61FE-9F5D-7A39-A49D0FA6E0B7,96,,,,3,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,Single Table,,,
"Security or exchange tradable derivative position",7F7861A5-652D-E468-5DF9-35EEB805D06C,117,,6A4C0D9F-61FE-9F5D-7A39-A49D0FA6E0B7,96,,,,1,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
"Total delta sensitivity per bucket_derived",972DD5CD-E47A-05C9-2C63-F05F49DAC772,118,,6A4C0D9F-61FE-9F5D-7A39-A49D0FA6E0B7,96,,,,4,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
"Vega sensitivity",47A941C3-2E4D-07A4-14B2-F4AFB696D126,119,,6A4C0D9F-61FE-9F5D-7A39-A49D0FA6E0B7,96,,,,4,,Y,0,0,9999999,0,Year,Third,,N,,,,,VG_SNSTVTY,A4E1F026-BF8E-548C-4A9D-C0B863F89F47,112,Single Table,,,
